,Order ID,Date,Customer Type,Product Category,Product Name,Quantity Sold,Unit Price,Total Sales,Region,Payment Method,Customer Age,Discount,Shipping Cost,Delivery Time (Days)
0,296,2024-01-27,Returning,Electronics,Electronics Product 296,3,92.8,75,Asia,Credit Card,22,2,6.78,2
1,2043,2024-01-18,New,Home Appliances,Home Appliances Product 287,3,637.0,1698,,PayPal,45,11,7.1,2
2,1003,2024-01-14,New,Clothing,Clothing Product 1003,2,247.2,274,Asia,Credit Card,34,10,11.02,4
3,1426,2024-01-17,Returning,Clothing,Clothing Product 1426,2,981.0,1720,Asia,PayPal,45,6,12.1,6
4,1177,2024-01-08,Returning,Clothing,Clothing Product 1177,4,719.4,2340,North America,Credit Card,31,6,13.44,7
5,462,2024-01-13,Returning,Electronics,Electronics Product 462,3,1099.5,2823,North America,Credit Card,27,1,15.85,4
6,735,2024-01-16,Returning,Electronics,Electronics Product 735,1,814.3,629,Europe,Credit Card,24,1,18.53,2
7,52,2024-01-23,Returning,Electronics,Electronics Product 52,5,675.3,3165,Asia,Credit Card,53,5,4.23,3
8,1192,2024-01-23,New,Electronics,Electronics Product 1192,3,782.6,1980,Europe,PayPal,21,5,12.26,2
9,1393,2024-01-14,New,Clothing,Clothing Product 1393,4,565.7,1524,Asia,Credit Card,57,20,18.47,7
10,973,2024-01-14,New,Electronics,Electronics Product 973,4,1145.3,3852,North America,PayPal,29,5,18.23,3
11,1180,2024-01-11,New,Home Appliances,Home Appliances Product 1180,2,1177.4,1964,North America,PayPal,20,18,19.54,6
12,476,2024-01-27,Returning,Electronics,Electronics Product 476,5,711.1,2710,Asia,Credit Card,24,0,16.91,5
13,677,2024-01-18,Returning,Electronics,Electronics Product 677,3,982.3,2469,Asia,PayPal,42,8,15.93,2
14,679,2024-01-20,New,Electronics,Electronics Product 679,2,1079.4,1786,North America,PayPal,41,4,18.64,5
15,1301,2024-01-12,New,Electronics,Electronics Product 1301,1,1056.1,857,North America,PayPal,47,9,19.91,4
16,1628,2024-01-09,Returning,Clothing,Clothing Product 1628,1,681.3,572,Asia,Credit Card,48,6,10.93,7
17,102,2024-01-13,New,Clothing,Clothing Product 102,4,447.6,1340,Europe,PayPal,53,9,11.26,5
18,2082,2024-01-13,Returning,Clothing,Clothing Product 1752,4,1014.8,3272,,PayPal,24,6,19.68,4
19,1696,2024-01-17,Returning,Home Appliances,Home Appliances Product 1696,2,276.9,282,Asia,PayPal,46,5,13.59,4
20,125,2024-01-06,Returning,Home Appliances,Home Appliances Product 125,3,797.6,1932,North America,Credit Card,44,10,15.36,4
21,186,2024-01-07,Returning,Home Appliances,Home Appliances Product 186,1,785.2,725,North America,Credit Card,47,2,6.02,3
22,1838,2024-01-09,Returning,Home Appliances,Home Appliances Product 1838,4,264.9,268,Europe,PayPal,26,0,19.79,2
23,196,2024-01-17,New,Electronics,Electronics Product 196,5,480.1,2025,Europe,PayPal,54,19,7.51,6
24,1467,2024-01-28,New,Electronics,Electronics Product 1467,3,281.3,429,Europe,PayPal,28,6,13.83,2
25,986,2024-01-27,Returning,Clothing,Clothing Product 986,5,613.2,2810,Asia,Credit Card,20,8,5.12,5
26,1442,2024-01-03,Returning,Electronics,Electronics Product 1442,3,1044.8,2760,North America,Credit Card,60,3,12.48,2
27,440,2024-01-21,Returning,Clothing,Clothing Product 440,4,153.2,412,Europe,Credit Card,44,0,5.02,5
28,908,2024-01-09,New,Electronics,Electronics Product 908,5,530.5,1925,Asia,Credit Card,44,19,14.55,5
29,1315,2024-01-26,New,Clothing,Clothing Product 1315,4,370.29999999999995,920,North America,Credit Card,36,7,14.03,6
30,1540,2024-01-11,Returning,Home Appliances,Home Appliances Product 1540,3,338.4,435,Europe,Credit Card,51,7,19.34,4
31,384,2024-01-25,New,Clothing,Clothing Product 384,1,795.1,635,Asia,PayPal,37,11,16.01,5
32,1203,2024-01-04,Returning,Clothing,Clothing Product 1203,2,532.8,960,Asia,PayPal,39,3,5.28,3
33,2,2024-01-03,New,Home Appliances,Home Appliances Product 2,5,641.1,2685,North America,PayPal,32,19,10.41,5
34,578,2024-01-09,Returning,Electronics,Electronics Product 578,5,1066.4,4925,North America,PayPal,25,4,8.14,6
35,1111,2024-01-02,New,Home Appliances,Home Appliances Product 1111,1,1008.1,895,Europe,PayPal,60,12,11.31,7
36,1801,2024-01-02,Returning,Home Appliances,Home Appliances Product 1801,2,855.9,1530,Europe,Credit Card,46,7,9.09,4
37,356,2024-01-27,New,Electronics,Electronics Product 356,1,584.8,404,North America,Credit Card,44,12,18.08,2
38,431,2024-01-12,New,Electronics,Electronics Product 431,5,878.8,3545,Europe,Credit Card,60,12,16.98,3
39,1923,2024-01-04,Returning,Electronics,Electronics Product 1923,5,427.1,1270,North America,Credit Card,24,10,17.31,7
40,2004,2024-01-16,New,Clothing,Clothing Product 1695,2,546.3,724,,Credit Card,35,14,18.43,4
41,284,2024-01-15,New,Home Appliances,Home Appliances Product 284,2,145.2,200,Asia,PayPal,45,16,4.52,5
42,1666,2024-01-17,Returning,Clothing,Clothing Product 1666,4,538.1,1584,North America,Credit Card,33,3,14.21,3
43,1432,2024-01-23,Returning,Electronics,Electronics Product 1432,3,835.7,2361,Asia,Credit Card,36,3,4.87,2
44,1813,2024-01-14,Returning,Home Appliances,Home Appliances Product 1813,5,350.3,1460,Asia,PayPal,27,9,5.83,2
45,505,2024-01-26,New,Electronics,Electronics Product 505,4,1169.3,3980,Asia,PayPal,53,8,17.43,6
46,24,2024-01-25,Returning,Home Appliances,Home Appliances Product 24,5,216.7,715,Asia,Credit Card,56,2,7.37,7
47,116,2024-01-27,New,Clothing,Clothing Product 116,4,244.4,592,North America,Credit Card,23,4,9.64,5
48,1961,2024-01-12,New,Clothing,Clothing Product 1961,5,734.8,2990,Asia,Credit Card,54,4,13.68,2
49,1731,2024-01-22,New,Clothing,Clothing Product 1731,2,268.6,342,Europe,Credit Card,31,3,9.76,3
50,695,2024-01-06,Returning,Home Appliances,Home Appliances Product 695,2,1067.2,1992,Asia,Credit Card,39,8,7.12,3
51,1661,2024-01-12,New,Clothing,Clothing Product 1661,4,588.2,1656,Europe,PayPal,40,20,17.42,4
